ZANNOU DJIMON MARCEL,ANGLARET XAVIER,{'weight': 1.0}
ZANNOU DJIMON MARCEL,LAURENT CHRISTIAN,{'weight': 1.0}
ZANNOU DJIMON MARCEL,AZONDEKON ALAIN,{'weight': 2.0}
ZANNOU DJIMON MARCEL,ABOUBAKRINE MAIGA,{'weight': 2.0}
ZANNOU DJIMON MARCEL,GUEHI CALIXTE,{'weight': 2.0}
ZANNOU DJIMON MARCEL,AGONNOUDE MAURICE,{'weight': 1.0}
ZANNOU DJIMON MARCEL,ANAGBLA TOUSSAIN,{'weight': 1.0}
ZANNOU DJIMON MARCEL,CATRAYE JOSEPH,{'weight': 1.0}
ZANNOU DJIMON MARCEL,BALESTRE ERIC,{'weight': 4.0}
ZANNOU DJIMON MARCEL,MINGA ALBERT,{'weight': 6.0}
ZANNOU DJIMON MARCEL,AJAYI SAMUEL,{'weight': 1.0}
ZANNOU DJIMON MARCEL,SAWADOGO ADRIEN,{'weight': 1.0}
ZANNOU DJIMON MARCEL,NEWLANDS DAVID,{'weight': 1.0}
ZANNOU DJIMON MARCEL,BOILY M C,{'weight': 2.0}
ZANNOU DJIMON MARCEL,LOWNDES CATHERINE M,{'weight': 6.0}
ZANNOU DJIMON MARCEL,EKOUEVI DIDIER K,{'weight': 7.0}
ZANNOU DJIMON MARCEL,BROWN STEVE,{'weight': 1.0}
ZANNOU DJIMON MARCEL,DEMERS E,{'weight': 1.0}
ZANNOU DJIMON MARCEL,DABIS FRANCOIS,{'weight': 10.0}
ZANNOU DJIMON MARCEL,CHIMBETETE CLEOPHAS,{'weight': 1.0}
ZANNOU DJIMON MARCEL,BECQUET RENAUD,{'weight': 1.0}
ZANNOU DJIMON MARCEL,LABBE A C,{'weight': 2.0}
ZANNOU DJIMON MARCEL,ADE GABRIEL,{'weight': 3.0}
ZANNOU DJIMON MARCEL,ATADOKPEDE FELIX,{'weight': 4.0}
ZANNOU DJIMON MARCEL,ANAGONOU S Y,{'weight': 2.0}
ZANNOU DJIMON MARCEL,HOUNGBE FABIEN,{'weight': 5.0}
ZANNOU DJIMON MARCEL,DENOEUDNDAM LISE,{'weight': 6.0}
